FoS,days,distance_m_from_calib_to_test_point,day_of_failure,anomalous_failure
12.962662,309,,,
1.7565498,310,,,
-9.112251,311,,,
1.371769,312,,,
4.8476257,313,,,
6.982437,314,,,
0.49890518,315,,,
-12.127487,316,,,
-13.351082,317,,,
-2.8341484,318,,,
-7.2599945,319,,,
-18.999207,320,,,
-18.771866,321,,,
-26.47799,322,,,
-12.867821,323,,,
-8.404373,324,,,
-5.7553177,325,,,
-3.6284752,326,,,
-1.909935,327,,,
-0.8409996,328,,,
0.049865723,329,,,
-5.1745377,330,,,
-0.40378952,331,,,
0.89024353,332,,,
-15.810722,333,,,
-5.6114655,334,,,
-20.422127,335,,,
-26.552803,336,,,
-14.807396,337,,,
-28.032425,338,,,
-33.29772,339,,,
-19.628761,340,,,
-15.837784,341,,,
-12.42276,342,,,
-9.924263,343,,,
-7.9858017,344,,,
-6.362591,345,,,
-4.958538,346,,,
-3.7165985,347,,,
-3.1616325,348,,,
-2.2261162,349,,,
-19.28595,350,,,
-9.257851,351,,,
-5.942524,352,,,
-4.0750084,353,,,
-2.692459,354,,,
-1.5097504,355,,,
-0.5014,356,,,
0.4029503,357,,,
1.2225609,358,,,
1.9771957,359,,,
2.677822,360,,,
-7.739731,361,,,
-19.206642,362,,,
-7.286804,363,,,
-4.2630577,364,,,
-8.38224,365,,,
-3.6336403,366,,,
-1.9160652,367,,,
-5.686989,368,,,
-2.1918983,369,,,
-1.6107101,370,,,
0.0064468384,371,,,
1.0411835,372,,,
1.9196777,373,,,
2.5638962,374,,,
1.999794,375,,,
1.2341843,376,,,
3.1535873,377,,,
4.041321,378,,,
3.8962746,379,,,
4.98394,380,,,
5.525692,381,,,
5.476959,382,,,
-11.884232,383,,,
-1.7071838,384,,,
-11.575455,385,,,
-14.940933,386,,,
-24.204826,387,,,
-29.5141,388,,,
-16.089287,389,,,
-11.623817,390,,,
-8.873566,391,,,
-7.0184402,392,,,
-5.399021,393,,,
-14.811363,394,,,
-25.850426,395,,,
-31.777008,396,,,
-36.474045,397,,,
-34.31018,398,,,
-41.337685,399,,,
-42.535522,400,,,
-47.380096,401,,,
-50.68467,402,,,
-43.068886,403,,,
-40.81849,404,,,
-32.34986,405,,,
-28.442642,406,,,
-25.4432,407,,,
-23.057869,408,,,
-21.048965,409,,,
-20.317116,410,,,
-20.578987,411,,,
-19.980202,412,,,
-17.409348,413,,,
-15.756645,414,,,
-14.4524,415,,,
-13.305168,416,,,
-21.887756,417,,,
-33.83046,418,,,
-22.896042,419,,,
-30.72937,420,,,
-36.80934,421,,,
-26.126472,422,,,
-31.724388,423,,,
-24.330635,424,,,
-21.528816,425,,,
-19.52118,426,,,
-17.828102,427,,,
-34.672134,428,,,
-41.511,429,,,
-37.417366,430,,,
-28.646683,431,,,
-25.470589,432,,,
-22.865662,433,,,
-20.994186,434,,,
-19.689056,435,,,
-33.493446,436,,,
-23.77311,437,,,
-21.111961,438,,,
-25.928482,439,,,
-29.635872,440,,,
-29.080399,441,,,
-23.183357,442,,,
-20.84755,443,,,
-19.14624,444,,,
-24.309624,445,,,
-37.732277,446,,,
-26.600426,447,,,
-41.162926,448,,,
-47.13243,449,,,
-44.138664,450,,,
-40.454613,451,,,
-33.7352,452,,,
-29.990692,453,,,
-27.843811,454,,,
-25.681236,455,,,
-23.989464,456,,,
-22.538353,457,,,
-21.26294,458,,,
-38.375786,459,,,
-45.39849,460,,,
-32.76252,461,,,
-28.970451,462,,,
-26.4264,463,,,
-24.520004,464,,,
-22.973488,465,,,
-21.651222,466,,,
-20.494804,467,,,
-19.445671,468,,,
-18.51635,469,,,
-17.618858,470,,,
-16.833824,471,,,
-17.322021,472,,,
-15.871277,473,,,
-15.138954,474,,,
-14.376511,475,,,
-13.700539,476,,,
-13.056732,477,,,
-12.999588,478,,,
-12.120384,479,,,
-11.58078,480,,,
-11.776886,481,,,
-29.068169,482,,,
-36.55107,483,,,
-24.32698,484,,,
-20.795044,485,,,
-19.070984,486,,,
-18.40886,487,,,
-16.583687,488,,,
-15.557251,489,,,
-14.551949,490,,,
-13.798714,491,,,
-13.294907,492,,,
-13.523354,493,,,
-22.00264,494,,,
-16.008934,495,,,
-14.259674,496,,,
-13.257721,497,,,
-12.257675,498,,,
-11.501511,499,,,
-11.545059,500,,,
-28.553085,501,,,
-19.681618,502,,,
-21.702408,503,,,
-17.362083,504,,,
-16.067787,505,,,
-22.637985,506,,,
-24.435257,507,,,
-18.485123,508,,,
-21.836662,509,,,
-17.523941,510,,,
-21.766495,511,,,
-26.704308,512,,,
-20.07869,513,,,
-17.77655,514,,,
-16.290382,515,,,
-15.899582,516,,,
-15.682091,517,,,
-14.081467,518,,,
-13.137688,519,,,
-12.349213,520,,,
-13.892548,521,,,
-12.682587,522,,,
-29.736542,523,,,
-37.059677,524,,,
-36.24324,525,,,
-32.508804,526,,,
-29.76773,527,,,
-24.740082,528,,,
-22.867905,529,,,
-20.843956,530,,,
-19.968925,531,,,
-18.604225,532,,,
-35.584465,533,,,
-24.580727,534,,,
-21.847878,535,,,
-24.792297,536,,,
-20.726936,537,,,
-19.09259,538,,,
-17.959816,539,,,
-17.567772,540,,,
-16.2659,541,,,
-15.522743,542,,,
-15.120979,543,,,
-16.289215,544,,,
-14.433937,545,,,
-13.67482,546,,,
