,alpha,D_0,K_sat,d,Iz_over_K_steady,friction_angle,cohesion,weight_of_water,weight_of_soil,time_of_failure,S,Z,row,col,insar_failtime,insar_prefailtime
0,0.07560119873512637,1.123731951114464e-05,1.3527731904913679e-08,1.632849092935991,0.7022874018139604,0.29859248620830314,12829.455338943879,9800.332558352446,15556.898903844773,9244800.0,0.075907804,482.09622,340,746,9676800.0,5356800.0
1,0.07474855225873332,2.9952879708480868e-06,1.9982958766829814e-08,0.7873252661494643,0.6482454367883017,0.4170170242248107,7661.148417610522,9800.100066302648,24995.083563559907,9590400.0,0.075907804,482.09622,340,746,9676800.0,5356800.0
2,0.2567038092672195,2.803169706947107e-05,2.8072582459514032e-08,1.3825755501106691,0.5994537380134922,0.3267851585353073,19763.564806284037,9800.128425227778,19259.392586308197,7344000.0,0.25255367,515.1802,350,750,8294400.0,5356800.0
3,0.2622794213650207,1.7524659680263086e-05,3.4210419821223315e-08,1.4759035075297091,0.5348035121302984,0.3333737562990864,14287.244206172949,9800.765817802325,15179.10585268994,7344000.0,0.25255367,515.1802,350,750,8294400.0,5356800.0
4,0.07234486685149066,5.846614017549137e-05,1.758427211753056e-07,1.3741196547692254,0.26536688303693345,0.4378405579402696,6014.88208584906,9800.77906129244,23189.08391560948,1641600.0,0.19280738,528.82605,351,726,2764800.0,-1.0
5,0.07693679063460795,4.533906249103438e-05,2.809103616581615e-07,0.9622320462165224,0.13120408513306714,0.4101508945774332,5035.062086525895,9800.464110578268,22767.82040724328,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
6,0.07416403331344285,5.254664053904386e-05,1.680736955156611e-08,1.9092527903642142,0.1165179768377385,0.2348950110068357,5157.101674592498,9800.711447498335,17256.865748323602,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
7,0.1920821909264535,2.471224170744818e-05,3.7987498768425584e-08,0.9836271556826108,0.10781189818064278,0.37391890760798624,6287.0133702924695,9800.9652095203,24374.082072190904,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
8,0.18409686556097707,6.488137372953051e-05,2.2480600769219512e-07,0.7806375839551561,0.09887187784969766,0.3970388585595134,4012.665512295017,9800.095191044858,22451.68719929708,432000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
9,0.1953834425799178,3.9790784668801015e-05,3.570288263329889e-08,2.294833428456488,0.2306354694537416,0.296451327362708,4654.967418239154,9800.030991422374,14089.139446148745,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
10,0.19930304760412626,1.805279199424222e-05,4.5268962677923456e-08,1.7829223920213069,0.14413846548707793,0.4592706768545698,4458.299594201897,9800.974731179736,26698.192692483222,1814400.0,0.19280738,528.82605,351,726,2764800.0,-1.0
11,0.19690442219862145,5.9409963532027514e-05,2.454780981538969e-07,2.185289474357594,0.4430544009668368,0.5102076900575688,4347.3964591040985,9800.098840846451,14105.698940056818,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
12,0.1963488135909223,2.658533342226997e-05,2.4566506637462605e-08,2.27320333927612,0.4366888716689357,0.43704524243468057,5314.327754718012,9800.463261663088,17837.488212335975,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
13,0.18677898028801204,3.503445481380642e-05,1.5158230086963445e-07,0.8670518715993771,0.4621816920861265,0.38849357148310376,7662.997575862138,9800.737515494517,25039.62885034525,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
14,0.1858468118744038,2.137182704471257e-05,1.343337506824732e-07,1.5627967748456302,0.3196326299399951,0.3935317179647234,5055.449789867845,9800.605973811433,22797.79441915324,1728000.0,0.19280738,528.82605,351,726,2764800.0,-1.0
15,0.2013856066294332,4.0991372243782146e-05,2.6949650258563657e-08,2.4060820215642136,0.6387583400065118,0.2340743245316192,7468.572666961356,9800.410374243987,20754.347750961508,1814400.0,0.19280738,528.82605,351,726,2764800.0,-1.0
16,0.07560119873512637,1.123731951114464e-05,1.3527731904913679e-08,1.632849092935991,0.7022874018139604,0.29859248620830314,12829.455338943879,9800.332558352446,15556.898903844773,9244800.0,0.10939006,497.48755,359,686,9676800.0,5356800.0
17,0.07474855225873332,2.9952879708480868e-06,1.9982958766829814e-08,0.7873252661494643,0.6482454367883017,0.4170170242248107,7661.148417610522,9800.100066302648,24995.083563559907,9590400.0,0.10939006,497.48755,359,686,9676800.0,5356800.0
18,0.11265838796008362,2.369313785456317e-06,1.4244025867265791e-08,1.134878541615666,0.7069068734749274,0.4939144289019704,8127.554394653152,9800.41403845037,23541.76913745348,9244800.0,0.10939006,497.48755,359,686,9676800.0,5356800.0
19,0.11019497357565004,8.224575703464025e-05,4.9183832299667576e-08,1.3336056564093106,0.2463797928723054,0.2067932223994944,17340.87661940055,9800.645881539818,20954.90321568388,5529600.0,0.10939006,497.48755,359,686,9676800.0,5356800.0
20,0.09907229968675972,2.034785548515569e-05,4.524516038654331e-08,1.1796256692290548,0.21817030825264905,0.4252488930123065,16128.93630289519,9800.789414573032,19159.721082852688,5529600.0,0.0973183,756.4675,361,853,8294400.0,5356800.0
21,0.09790215592411283,2.127483481227745e-05,8.286087254844719e-08,0.5999811693979578,0.35157124135229545,0.39504998913948375,16483.57116072451,9800.899308800655,17022.477596607467,7430400.0,0.0973183,756.4675,361,853,8294400.0,5356800.0
22,0.05755264042945765,5.3074070272873357e-05,6.796224107177553e-08,2.322570823705246,0.4470866990909985,0.2682834322785438,17605.25128211717,9800.477098217812,16650.3780257191,7430400.0,0.06048621,745.66,361,912,8294400.0,5356800.0
